ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1781480340,2026-06-14T23:39:00Z,40000,39000,40000,38000,NA,0,0,3600000,1,performance
1781480341,2026-06-14T23:39:01Z,44000,37000,40000,36000,NA,0,0,3600000,1,performance
1781480342,2026-06-14T23:39:02Z,43000,37000,39000,38000,NA,0,0,3600000,1,performance
1781480343,2026-06-14T23:39:03Z,44000,37000,40000,38000,NA,0,0,3600000,1,performance
1781480344,2026-06-14T23:39:04Z,45000,38000,40000,36000,NA,0,0,3600000,1,performance
1781480345,2026-06-14T23:39:05Z,43000,37000,39000,37000,NA,0,0,3600000,1,performance
1781480346,2026-06-14T23:39:06Z,43000,37000,38000,36000,NA,0,0,3600000,1,performance
1781480347,2026-06-14T23:39:07Z,43000,38000,39000,36000,NA,0,0,3600000,1,performance
1781480348,2026-06-14T23:39:08Z,43000,37000,39000,36000,NA,0,0,3600000,1,performance
1781480349,2026-06-14T23:39:09Z,43000,37000,39000,37000,NA,0,0,3600000,1,performance
1781480350,2026-06-14T23:39:10Z,43000,37000,39000,36000,NA,0,0,3600000,1,performance
1781480351,2026-06-14T23:39:11Z,44000,38000,39000,37000,NA,0,0,3600000,1,performance
1781480352,2026-06-14T23:39:12Z,43000,37000,39000,37000,NA,0,0,3600000,1,performance
1781480353,2026-06-14T23:39:13Z,43000,37000,39000,37000,NA,0,0,3600000,1,performance
1781480354,2026-06-14T23:39:14Z,43000,37000,39000,37000,NA,0,0,3600000,1,performance
1781480355,2026-06-14T23:39:15Z,43000,37000,38000,36000,NA,0,0,3600000,1,performance
1781480356,2026-06-14T23:39:16Z,43000,39000,39000,37000,NA,0,0,3600000,1,performance
1781480357,2026-06-14T23:39:17Z,44000,39000,39000,37000,NA,0,0,3600000,1,performance
1781480358,2026-06-14T23:39:18Z,43000,37000,39000,36000,NA,0,0,3600000,1,performance
1781480359,2026-06-14T23:39:19Z,43000,37000,39000,37000,NA,0,0,3600000,1,performance
1781480360,2026-06-14T23:39:20Z,43000,37000,39000,38000,NA,0,0,3600000,1,performance
1781480361,2026-06-14T23:39:21Z,43000,37000,39000,37000,NA,0,0,3600000,1,performance
1781480362,2026-06-14T23:39:22Z,44000,37000,39000,37000,NA,0,0,3600000,1,performance
1781480363,2026-06-14T23:39:23Z,43000,37000,39000,37000,NA,0,0,3600000,1,performance
1781480364,2026-06-14T23:39:24Z,44000,37000,40000,38000,NA,0,0,3600000,1,performance
1781480365,2026-06-14T23:39:25Z,44000,38000,40000,38000,NA,0,0,3600000,1,performance
1781480366,2026-06-14T23:39:26Z,44000,37000,42000,37000,NA,0,0,3600000,1,performance
1781480367,2026-06-14T23:39:27Z,44000,38000,40000,37000,NA,0,0,3600000,1,performance
1781480368,2026-06-14T23:39:28Z,44000,41000,40000,38000,NA,0,0,3600000,1,performance
1781480369,2026-06-14T23:39:29Z,45000,38000,40000,37000,NA,0,0,3600000,1,performance
