ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1781235687,2026-06-12T03:41:27Z,48000,46000,48000,44000,NA,0,0,3600000,1,performance
1781235688,2026-06-12T03:41:28Z,47000,46000,46000,43000,NA,0,0,3600000,1,performance
1781235689,2026-06-12T03:41:29Z,50000,47000,49000,44000,NA,0,0,3600000,1,performance
1781235690,2026-06-12T03:41:30Z,50000,46000,50000,45000,NA,0,0,3600000,1,performance
1781235691,2026-06-12T03:41:31Z,51000,48000,48000,44000,NA,0,0,3600000,1,performance
1781235692,2026-06-12T03:41:32Z,51000,46000,48000,44000,NA,0,0,3600000,1,performance
1781235693,2026-06-12T03:41:33Z,51000,46000,48000,44000,NA,0,0,3600000,1,performance
1781235694,2026-06-12T03:41:34Z,52000,46000,47000,44000,NA,0,0,3600000,1,performance
1781235695,2026-06-12T03:41:35Z,51000,46000,47000,45000,NA,0,0,3600000,1,performance
1781235696,2026-06-12T03:41:36Z,49000,47000,50000,46000,NA,0,0,3600000,1,performance
